<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.11.29	00:00:00	1795.46	1796.64	1789.97	1794.48	15639	0	6
2021.11.29	04:00:00	1794.47	1797.06	1791.21	1794.74	15198	0	6
2021.11.29	08:00:00	1794.77	1799.43	1792.94	1793.55	17639	0	6
2021.11.29	12:00:00	1793.55	1794.09	1784.25	1787.03	25754	0	6
2021.11.29	16:00:00	1787.00	1787.94	1781.19	1782.63	16491	0	6
2021.11.29	20:00:00	1782.66	1787.87	1782.08	1786.89	8036	0	6
2021.11.30	00:00:00	1786.89	1790.41	1782.98	1789.00	11388	0	6
2021.11.30	04:00:00	1788.99	1795.89	1788.03	1791.81	19000	0	6
2021.11.30	08:00:00	1791.81	1798.55	1791.53	1792.49	19665	0	6
2021.11.30	12:00:00	1792.53	1808.65	1783.37	1784.53	41782	0	6
2021.11.30	16:00:00	1784.57	1784.78	1769.90	1776.11	37276	0	6
2021.11.30	20:00:00	1776.14	1777.04	1770.92	1773.27	10261	0	6
2021.12.01	00:00:00	1773.28	1780.36	1772.67	1777.99	15276	0	6
2021.12.01	04:00:00	1778.01	1794.53	1777.37	1784.86	20749	0	5
2021.12.01	08:00:00	1784.90	1788.65	1776.69	1785.12	19003	0	5
2021.12.01	12:00:00	1785.15	1792.27	1782.74	1786.05	31562	0	6
2021.12.01	16:00:00	1786.01	1787.94	1779.28	1782.21	24128	0	6
2021.12.01	20:00:00	1782.19	1783.47	1777.39	1781.88	10921	0	6
2021.12.02	00:00:00	1781.92	1782.04	1779.12	1779.38	13041	0	6
2021.12.02	04:00:00	1779.38	1779.38	1774.95	1775.20	12027	0	6
2021.12.02	08:00:00	1775.23	1779.08	1767.36	1777.28	17636	0	5
2021.12.02	12:00:00	1777.27	1781.26	1763.29	1767.34	34402	0	6
2021.12.02	16:00:00	1767.37	1769.21	1761.91	1766.82	19271	0	6
2021.12.02	20:00:00	1766.85	1770.69	1766.33	1769.06	7645	0	6
2021.12.03	00:00:00	1769.05	1774.38	1767.56	1773.51	12259	0	5
2021.12.03	04:00:00	1773.52	1776.52	1770.29	1770.54	11486	0	6
2021.12.03	08:00:00	1770.57	1773.51	1766.15	1771.92	12860	0	5
2021.12.03	12:00:00	1771.95	1778.66	1766.42	1770.81	43182	0	6
2021.12.03	16:00:00	1770.78	1784.66	1769.83	1783.96	23594	0	6
2021.12.03	20:00:00	1783.93	1786.14	1782.23	1783.49	6605	0	6
