<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.19	1814.29	1843.33	1810.25	1838.53	102892	0	0
2022.01.20	1838.52	1847.93	1835.97	1838.92	92087	0	0
2022.01.21	1838.94	1843.22	1828.49	1834.39	95878	0	0
2022.01.24	1834.71	1844.35	1829.67	1843.64	111198	0	0
2022.01.25	1843.66	1853.88	1834.85	1849.53	97681	0	0
2022.01.26	1849.47	1849.59	1814.98	1821.97	97899	0	0
2022.01.27	1821.99	1822.00	1791.82	1797.30	114524	0	0
2022.01.28	1797.28	1799.44	1780.31	1791.81	95568	0	0
2022.01.31	1789.59	1799.92	1785.59	1797.86	79522	0	0
2022.02.01	1797.84	1808.78	1795.76	1800.77	76809	0	0
2022.02.02	1800.79	1810.79	1794.41	1807.93	72457	0	0
2022.02.03	1807.91	1808.96	1788.70	1805.73	82930	0	0
2022.02.04	1805.73	1814.92	1792.19	1808.20	78524	0	0
2022.02.07	1810.05	1823.57	1808.74	1822.03	78921	0	0
2022.02.08	1822.01	1828.77	1815.46	1825.96	67495	0	0
2022.02.09	1825.98	1835.85	1824.69	1832.63	63132	0	0
2022.02.10	1832.64	1841.96	1821.65	1826.83	89005	0	0
2022.02.11	1826.86	1865.50	1820.98	1859.00	106639	0	0
2022.02.14	1859.61	1874.15	1850.81	1871.09	121235	0	0
2022.02.15	1871.10	1879.49	1844.56	1852.95	102141	0	0
2022.02.16	1852.97	1872.57	1850.30	1869.98	85721	0	0
2022.02.17	1870.01	1901.12	1867.85	1899.97	112916	0	0
2022.02.18	1900.01	1902.49	1886.58	1897.44	102302	0	0
2022.02.21	1904.87	1914.10	1887.66	1909.56	71901	0	0
2022.02.22	1909.53	1913.93	1891.42	1898.27	129632	0	0
2022.02.23	1898.37	1901.30	1893.39	1894.69	20450	0	0
2022.05.31	1852.01	1852.08	1852.01	1852.07	9	0	6
2022.07.25	1724.71	1736.28	1714.77	1718.99	105462	0	0
2022.07.26	1718.99	1728.22	1713.66	1717.96	93637	0	0
2022.07.27	1717.97	1740.32	1711.52	1738.80	101963	0	0
2022.07.28	1738.80	1757.11	1734.06	1754.88	123420	0	0
2022.07.29	1754.92	1767.93	1751.98	1766.02	117646	0	0
2022.08.01	1762.20	1775.23	1758.37	1772.18	110342	0	0
2022.08.02	1772.24	1788.06	1754.95	1756.72	124538	0	0
2022.08.03	1756.69	1772.80	1754.34	1763.65	91811	0	0
2022.08.04	1763.65	1794.95	1763.33	1793.40	86305	0	0
2022.08.05	1793.40	1794.89	1764.98	1775.31	112325	0	5
2022.08.08	1774.56	1790.63	1771.19	1789.22	89972	0	8
2022.08.09	1789.22	1800.45	1783.23	1794.08	84868	0	6
2022.08.10	1794.08	1807.87	1787.62	1791.69	107754	0	7
2022.08.11	1791.71	1799.31	1783.59	1788.95	103750	0	6
2022.08.12	1788.93	1802.11	1784.88	1801.80	96533	0	9
2022.08.15	1799.09	1801.76	1772.98	1778.52	104478	0	8
2022.08.16	1778.60	1783.09	1771.47	1775.57	87903	0	9
2022.08.17	1775.53	1782.34	1759.80	1764.96	115518	0	8
2022.08.18	1764.96	1772.40	1755.35	1758.40	102767	0	6
2022.08.19	1758.40	1758.58	1745.54	1747.01	102075	0	10
2022.08.22	1745.67	1749.06	1727.77	1735.25	104011	0	5
2022.08.23	1735.25	1754.11	1730.82	1746.05	107677	0	10
2022.08.24	1746.03	1755.90	1742.46	1751.03	100239	0	10
2022.08.25	1751.03	1765.50	1749.98	1756.40	101047	0	10
2022.08.26	1756.41	1758.82	1734.20	1738.35	119827	0	10
2022.08.29	1734.68	1745.52	1720.31	1739.56	109257	0	10
2022.08.30	1739.58	1740.55	1721.18	1723.32	108873	0	5
2022.08.31	1723.31	1726.52	1705.26	1708.92	122050	0	8
2022.09.01	1708.91	1708.91	1688.80	1697.28	123320	0	5
2022.09.02	1697.19	1717.98	1696.28	1711.89	112709	0	7
2022.09.05	1707.98	1715.75	1707.71	1713.89	61829	0	5
2022.09.06	1713.89	1726.77	1699.85	1703.40	121708	0	5
2022.09.07	1703.43	1719.22	1691.27	1716.59	125958	0	5
2022.09.08	1716.59	1728.20	1703.96	1710.68	133433	0	10
2022.09.09	1710.69	1729.41	1709.74	1717.57	109677	0	8
2022.09.12	1718.40	1735.13	1711.95	1725.28	108548	0	5
2022.09.13	1725.28	1731.82	1697.11	1702.11	127059	0	5
2022.09.14	1702.09	1707.11	1693.67	1697.52	125223	0	5
2022.09.15	1697.53	1697.83	1660.35	1662.36	121905	0	6
2022.09.16	1662.38	1680.34	1654.16	1675.56	115817	0	10
2022.09.19	1677.96	1678.79	1659.63	1675.77	99856	0	5
2022.09.20	1675.76	1679.46	1660.00	1666.36	102013	0	10
2022.09.21	1666.35	1688.03	1653.93	1667.01	137446	0	6
2022.09.22	1667.01	1684.91	1655.67	1672.76	157576	0	5
2022.09.23	1672.76	1675.92	1639.75	1645.09	150378	0	10
2022.09.26	1644.12	1649.76	1621.17	1627.67	178807	0	10
2022.09.27	1627.66	1642.45	1626.68	1629.93	144764	0	10
2022.09.28	1623.47	1662.69	1614.81	1656.19	155127	0	10
2022.09.29	1656.23	1665.16	1641.53	1664.59	161798	0	10
2022.09.30	1664.60	1675.36	1659.24	1660.83	144155	0	10
2022.10.03	1664.12	1702.59	1659.72	1700.99	147725	0	4
2022.10.04	1700.98	1729.49	1695.24	1725.58	144673	0	4
2022.10.05	1725.58	1727.80	1700.52	1718.43	134425	0	4
2022.10.06	1718.43	1725.57	1706.96	1711.94	130350	0	4
2022.10.07	1711.95	1714.83	1690.65	1694.63	128165	0	4
2022.10.10	1696.74	1697.28	1665.71	1670.14	122392	0	2
2022.10.11	1670.13	1683.97	1661.01	1664.11	142648	0	4
2022.10.12	1663.94	1678.38	1661.38	1674.47	135786	0	4
2022.10.13	1674.45	1682.46	1642.46	1663.46	148168	0	4
2022.10.14	1663.43	1671.77	1640.19	1644.49	153745	0	4
2022.10.17	1647.49	1668.46	1646.42	1650.69	125438	0	4
2022.10.18	1650.69	1660.93	1645.83	1652.36	129820	0	4
2022.10.19	1652.37	1653.45	1626.45	1627.13	128328	0	4
2022.10.20	1627.12	1645.64	1622.43	1626.92	139851	0	4
2022.10.21	1626.93	1657.74	1617.29	1657.03	177948	0	4
2022.10.24	1661.29	1661.91	1644.01	1651.77	156340	0	4
2022.10.25	1651.77	1662.43	1638.20	1652.79	140022	0	4
2022.10.26	1652.84	1674.93	1649.68	1667.52	145965	0	4
2022.10.27	1667.51	1670.83	1654.88	1661.90	159450	0	4
2022.10.28	1661.94	1667.04	1638.05	1645.16	148158	0	1
2022.10.31	1643.50	1645.65	1631.78	1632.45	115742	0	4
2022.11.01	1632.52	1657.04	1630.65	1646.82	141425	0	4
2022.11.02	1646.85	1669.33	1631.88	1633.74	142044	0	4
2022.11.03	1633.72	1641.00	1616.72	1629.75	146448	0	4
2022.11.04	1629.75	1681.72	1629.42	1680.61	160363	0	4
2022.11.07	1672.69	1681.90	1666.90	1674.12	140948	0	4
2022.11.08	1674.12	1716.88	1664.71	1711.48	133269	0	4
2022.11.09	1711.47	1722.37	1702.20	1706.49	137681	0	4
2022.11.10	1706.49	1757.19	1704.04	1752.23	152462	0	4
2022.11.11	1752.23	1772.45	1747.30	1769.86	142963	0	4
2022.11.14	1763.48	1775.09	1753.30	1769.50	140096	0	4
2022.11.15	1769.54	1786.57	1767.13	1780.79	209972	0	4
2022.11.16	1780.81	1785.06	1770.35	1773.92	172356	0	4
2022.11.17	1773.91	1774.88	1754.51	1760.10	148774	0	4
2022.11.18	1760.09	1767.72	1747.55	1750.14	127515	0	4
2022.11.21	1752.13	1752.95	1732.54	1738.57	142284	0	4
2022.11.22	1738.57	1749.74	1737.08	1741.15	128159	0	4
2022.11.23	1741.17	1753.39	1727.31	1752.33	140349	0	4
2022.11.24	1752.35	1758.61	1752.21	1755.36	85440	0	4
2022.11.25	1755.25	1761.24	1746.05	1756.10	102233	0	4
2022.11.28	1750.74	1763.76	1739.63	1741.27	128799	0	4
2022.11.29	1741.27	1759.05	1740.24	1748.80	149882	0	4
2022.11.30	1749.23	1773.50	1744.91	1773.41	175559	0	4
2022.12.01	1773.41	1804.52	1771.98	1802.28	185568	0	4
2022.12.02	1798.39	1803.10	1778.49	1798.56	152125	0	4
2022.12.05	1798.90	1810.01	1765.85	1769.28	154985	0	4
2022.12.06	1769.25	1780.86	1767.27	1770.99	139558	0	4
2022.12.07	1770.99	1790.52	1768.74	1787.01	149883	0	4
2022.12.08	1786.98	1794.83	1781.45	1789.24	127101	0	4
2022.12.09	1789.24	1806.14	1788.44	1796.80	129593	0	8
2022.12.12	1794.98	1795.53	1777.63	1781.94	116292	0	4
2022.12.13	1781.94	1824.52	1780.99	1809.61	165872	0	0
2022.12.14	1809.63	1814.22	1795.64	1807.65	164365	0	0
2022.12.15	1807.65	1807.87	1773.75	1776.49	171911	0	2
2022.12.16	1776.48	1794.27	1774.25	1793.01	140234	0	0
2022.12.19	1791.01	1798.73	1783.79	1787.28	124696	0	4
2022.12.20	1787.24	1821.12	1784.61	1817.21	187624	0	2
2022.12.21	1817.19	1823.84	1811.85	1814.90	130615	0	3
2022.12.22	1814.90	1820.43	1784.67	1793.49	135189	0	1
2022.12.23	1793.51	1803.22	1791.18	1795.73	100820	0	3
2022.12.26	1800.60	1804.00	1799.89	1801.77	1649	0	10
2022.12.27	1801.77	1833.63	1800.62	1812.42	105455	0	2
2022.12.28	1812.39	1814.62	1797.04	1805.77	102349	0	1
2022.12.29	1805.72	1820.24	1804.30	1815.09	99742	0	3
2022.12.30	1814.99	1826.04	1813.39	1819.17	100358	0	3
2023.01.02	1827.53	1830.07	1823.52	1829.44	2104	0	10
2023.01.03	1829.44	1849.99	1826.83	1836.51	152530	0	1
2023.01.04	1836.50	1865.12	1836.18	1854.88	158531	0	1
2023.01.05	1854.88	1859.03	1825.11	1832.74	142516	0	0
2023.01.06	1832.73	1869.87	1831.31	1866.44	133676	0	3
2023.01.09	1869.62	1881.58	1867.16	1870.51	132672	0	3
2023.01.10	1870.51	1880.77	1867.72	1877.20	130564	0	4
2023.01.11	1877.17	1886.63	1867.15	1876.92	126094	0	3
2023.01.12	1876.92	1901.62	1870.74	1898.10	119151	0	0
2023.01.13	1898.09	1921.92	1892.35	1920.37	121482	0	0
2023.01.15	1921.91	1922.04	1916.89	1916.92	2270	0	9
2023.01.16	1916.37	1919.34	1910.90	1917.95	40013	0	5
2023.01.17	1917.98	1919.08	1903.82	1908.79	104717	0	0
2023.01.18	1908.78	1925.95	1896.63	1906.89	124498	0	0
2023.01.19	1906.98	1935.20	1901.02	1931.79	115524	0	5
2023.01.20	1931.76	1937.55	1920.69	1926.18	99840	0	5
2023.01.22	1926.64	1927.76	1923.92	1927.31	2006	0	5
2023.01.23	1927.40	1935.57	1911.42	1931.36	104253	0	0
2023.01.24	1931.38	1942.53	1917.19	1937.07	94652	0	0
2023.01.25	1937.05	1948.84	1919.91	1948.40	85213	0	0
2023.01.26	1948.42	1949.21	1918.74	1930.81	103243	0	0
2023.01.27	1930.77	1935.00	1916.77	1928.41	92748	0	0
2023.01.29	1929.48	1929.65	1925.64	1928.97	1748	0	5
2023.01.30	1929.02	1934.50	1920.67	1922.16	96480	0	5
2023.01.31	1922.27	1931.11	1900.85	1927.38	106065	0	0
2023.02.01	1927.40	1956.25	1920.67	1953.12	101240	0	0
2023.02.02	1953.05	1959.78	1911.35	1915.16	126827	0	5
2023.02.03	1915.24	1918.66	1861.42	1865.19	124719	0	0
2023.02.05	1865.17	1870.04	1860.59	1865.55	3321	0	5
2023.02.06	1865.41	1881.33	1863.07	1868.62	110863	0	0
2023.02.07	1868.62	1884.43	1865.04	1872.91	114081	0	3
2023.02.08	1872.95	1886.29	1869.12	1875.02	102259	0	3
2023.02.09	1875.00	1890.23	1858.95	1862.48	111837	0	3
2023.02.10	1862.59	1872.29	1852.81	1865.57	114907	0	3
2023.02.12	1864.65	1865.43	1862.71	1862.78	2245	0	3
2023.02.13	1862.80	1866.62	1850.50	1854.45	97270	0	3
2023.02.14	1854.29	1870.63	1843.37	1854.98	105945	0	3
2023.02.15	1854.93	1860.16	1830.47	1836.45	107353	0	3
2023.02.16	1836.44	1845.31	1827.65	1834.35	109228	0	3
2023.02.17	1834.36	1843.64	1818.95	1842.68	106126	0	3
2023.02.19	1840.80	1842.09	1838.45	1838.78	1830	0	4
2023.02.20	1838.77	1847.55	1837.35	1841.74	58116	0	4
2023.02.21	1841.78	1843.86	1830.27	1835.65	99594	0	4
2023.02.22	1835.65	1846.07	1823.59	1825.20	101815	0	4
2023.02.23	1825.21	1833.80	1817.54	1823.25	99243	0	4
2023.02.24	1823.26	1827.87	1808.99	1810.88	107795	0	4
2023.02.26	1810.88	1813.17	1809.91	1811.85	1720	0	4
2023.02.27	1811.83	1820.19	1806.78	1817.30	100047	0	4
2023.02.28	1817.29	1831.19	1804.81	1825.61	97965	0	4
2023.03.01	1825.65	1844.68	1823.11	1836.64	106911	0	4
2023.03.02	1836.53	1839.03	1830.05	1838.03	69280	0	4
2023.03.06	1849.81	1854.02	1845.16	1846.40	50296	0	4
2023.03.07	1846.36	1851.68	1811.91	1814.07	102852	0	4
2023.03.08	1814.04	1824.30	1809.45	1815.32	94029	0	4
2023.03.09	1815.35	1835.64	1811.95	1831.62	94332	0	4
2023.03.10	1831.63	1870.19	1827.77	1867.15	131110	0	4
2023.03.12	1884.20	1889.44	1875.84	1877.83	6083	0	4
2023.03.13	1877.80	1914.65	1871.60	1912.12	166284	0	4
2023.03.14	1912.13	1914.17	1895.43	1903.16	134193	0	4
2023.03.15	1903.15	1937.39	1885.78	1921.25	145862	0	4
2023.03.16	1921.26	1933.56	1907.60	1921.38	133362	0	4
2023.03.17	1921.44	1989.10	1918.30	1989.00	127230	0	4
2023.03.19	1983.17	1990.66	1975.09	1977.06	6046	0	4
2023.03.20	1977.04	2009.82	1965.93	1976.66	137556	0	4
2023.03.21	1976.76	1985.21	1935.48	1943.13	103443	0	4
2023.03.22	1943.19	1978.85	1934.33	1969.73	110697	0	4
2023.03.23	1969.75	2003.38	1966.36	1991.34	128728	0	4
2023.03.24	1991.34	2002.98	1975.27	1978.52	134914	0	4
2023.03.26	1975.04	1980.11	1969.39	1975.83	4020	0	4
2023.03.27	1975.80	1978.76	1944.09	1958.17	120044	0	4
2023.03.28	1958.16	1975.32	1949.23	1971.97	112099	0	4
2023.03.29	1972.05	1972.90	1958.74	1963.30	97609	0	4
2023.03.30	1963.34	1984.36	1955.45	1978.54	104526	0	4
2023.03.31	1978.50	1987.60	1966.93	1969.32	108532	0	4
2023.04.02	1962.59	1962.68	1957.12	1957.18	2204	0	4
2023.04.03	1957.16	1990.54	1949.82	1985.01	118521	0	4
2023.04.04	1984.99	2024.98	1977.00	2021.88	115980	0	4
2023.04.05	2021.84	2032.11	2010.09	2020.35	106727	0	4
2023.04.06	2020.36	2020.99	2000.91	2007.29	98039	0	4
2023.04.09	2005.59	2006.02	2004.81	2005.53	1502	0	4
2023.04.10	2005.63	2005.91	1981.69	1992.45	85846	0	4
2023.04.11	1992.36	2007.49	1988.84	2004.78	98294	0	4
2023.04.12	2004.76	2028.38	2001.41	2018.21	114568	0	4
2023.04.13	2018.24	2048.67	2015.30	2039.78	111693	0	4
2023.04.14	2039.72	2047.48	1992.42	2004.17	119183	0	4
2023.04.16	2001.19	2005.03	2001.19	2002.97	1469	0	4
2023.04.17	2003.01	2015.07	1981.20	1994.01	105870	0	4
2023.04.18	1994.03	2011.88	1991.30	2005.81	97581	0	4
2023.04.19	2005.82	2008.22	1969.27	1993.77	120722	0	4
2023.04.20	1993.84	2012.38	1990.54	2005.32	110046	0	4
2023.04.21	2005.32	2005.57	1971.67	1983.07	102769	0	4
2023.04.23	1984.05	1985.42	1983.93	1984.71	1278	0	4
2023.04.24	1984.65	1996.66	1974.14	1995.07	102174	0	4
2023.04.25	1995.12	2003.88	1976.17	2000.25	122392	0	4
2023.04.26	2000.24	2009.38	1983.43	1991.71	127485	0	4
2023.04.27	1991.66	2003.29	1974.13	1986.96	116480	0	4
2023.04.28	1987.04	1995.01	1976.28	1989.61	121120	0	4
2023.04.30	1989.35	1989.38	1986.67	1986.93	1429	0	4
2023.05.01	1987.12	2006.03	1977.13	1981.48	100202	0	4
2023.05.02	1981.48	2019.43	1978.52	2015.99	114464	0	4
2023.05.03	2015.98	2056.74	2007.39	2052.00	115825	0	4
2023.05.04	2051.99	2059.63	2030.41	2050.01	135765	0	4
2023.05.05	2050.02	2053.04	1999.55	2016.80	112143	0	4
2023.05.07	2014.63	2017.39	2014.63	2016.12	1636	0	4
2023.05.08	2016.10	2029.39	2015.17	2021.32	91773	0	4
2023.05.09	2021.28	2037.64	2019.50	2036.39	106445	0	4
2023.05.10	2036.38	2048.21	2021.56	2031.54	119253	0	4
2023.05.11	2031.54	2041.26	2011.20	2016.40	132467	0	4
2023.05.12	2016.41	2022.59	2000.95	2010.83	117158	0	4
2023.05.14	2010.98	2011.04	2009.38	2009.64	1196	0	4
2023.05.15	2009.58	2022.20	2008.75	2014.49	90535	0	4
2023.05.16	2014.50	2018.38	1985.51	1989.71	110161	0	4
2023.05.17	1989.77	1993.10	1975.10	1982.79	105082	0	4
2023.05.18	1982.81	1986.02	1952.00	1958.45	108977	0	4
2023.05.19	1958.49	1984.24	1954.08	1977.76	112255	0	4
2023.05.21	1980.20	1981.53	1979.37	1980.91	1353	0	4
2023.05.22	1980.91	1982.62	1968.96	1969.83	101827	0	4
2023.05.23	1969.86	1977.74	1954.28	1975.09	110102	0	4
2023.05.24	1975.12	1985.24	1956.77	1959.86	114730	0	4
2023.05.25	1959.86	1964.78	1938.88	1940.60	105889	0	4
2023.05.26	1940.57	1957.30	1936.81	1946.36	105433	0	4
2023.05.28	1944.08	1944.79	1943.36	1943.76	1221	0	4
2023.05.29	1943.73	1949.75	1940.33	1941.61	50061	0	4
2023.05.30	1941.61	1963.58	1932.11	1958.62	112257	0	4
2023.05.31	1958.63	1974.78	1953.71	1966.37	108414	0	4
2023.06.01	1966.39	1983.16	1953.42	1977.09	102516	0	4
2023.06.02	1977.10	1983.48	1947.57	1948.18	103230	0	4
2023.06.04	1948.97	1950.02	1947.44	1949.43	1794	0	4
2023.06.05	1949.46	1964.06	1938.13	1961.33	106048	0	4
2023.06.06	1961.34	1966.38	1954.41	1963.45	109117	0	4
2023.06.07	1963.47	1970.23	1939.82	1944.53	95519	0	4
2023.06.08	1944.56	1970.51	1942.88	1965.42	95551	0	4
2023.06.09	1965.42	1973.11	1956.65	1960.92	84410	0	4
2023.06.11	1959.01	1960.62	1958.05	1960.03	1567	0	4
2023.06.12	1959.98	1967.03	1949.26	1960.02	100201	0	4
2023.06.13	1960.00	1971.06	1940.09	1943.93	103920	0	0
2023.06.14	1944.06	1960.33	1939.72	1945.30	105659	0	0
2023.06.15	1945.24	1960.29	1925.04	1958.31	100970	0	4
2023.06.16	1958.27	1967.93	1953.29	1957.62	89617	0	4
2023.06.18	1958.14	1958.38	1956.34	1957.17	926	0	4
2023.06.19	1957.18	1958.74	1947.85	1952.52	49365	0	4
2023.06.20	1952.59	1956.83	1929.82	1937.35	88382	0	4
2023.06.21	1937.38	1939.56	1919.28	1933.90	87207	0	4
2023.06.22	1933.94	1934.31	1912.48	1914.52	78127	0	4
2023.06.23	1914.53	1937.33	1910.18	1920.86	81099	0	4
2023.06.25	1924.78	1925.48	1923.93	1925.36	1270	0	4
2023.06.26	1925.37	1933.37	1921.08	1922.58	77367	0	4
2023.06.27	1922.54	1930.69	1911.07	1915.52	80157	0	4
2023.06.28	1915.53	1917.25	1902.89	1909.75	77913	0	4
2023.06.29	1909.76	1913.13	1893.01	1908.80	83348	0	4
2023.06.30	1908.81	1922.77	1900.59	1919.51	80481	0	4
2023.07.02	1919.34	1919.41	1917.49	1918.30	1092	0	4
2023.07.03	1918.27	1931.06	1910.13	1921.30	68676	0	4
2023.07.04	1921.31	1930.75	1920.09	1926.37	45299	0	4
2023.07.05	1926.40	1935.08	1914.86	1916.88	79040	0	4
2023.07.06	1916.92	1927.68	1902.70	1911.65	81447	0	4
2023.07.07	1911.65	1934.81	1909.68	1925.46	77611	0	4
2023.07.09	1926.12	1926.12	1923.95	1924.93	1282	0	4
2023.07.10	1924.95	1926.96	1912.68	1924.93	76035	0	4
2023.07.11	1924.94	1938.51	1924.49	1933.37	77238	0	4
2023.07.12	1933.37	1959.68	1933.28	1957.83	83520	0	4
2023.07.13	1957.89	1963.54	1952.46	1960.16	85439	0	4
2023.07.14	1960.33	1963.79	1951.04	1955.41	81208	0	4
2023.07.16	1953.18	1953.48	1951.48	1953.41	1485	0	4
2023.07.17	1953.41	1959.87	1945.81	1955.50	71281	0	4
2023.07.18	1955.53	1984.40	1954.74	1977.55	86863	0	4
2023.07.19	1977.58	1981.01	1969.81	1977.83	79462	0	4
2023.07.20	1977.80	1987.52	1965.40	1972.25	81718	0	4
2023.07.21	1972.27	1973.84	1956.88	1961.87	74288	0	4
2023.07.23	1962.06	1962.32	1960.43	1961.23	1033	0	4
2023.07.24	1961.23	1967.91	1953.27	1954.47	72904	0	4
2023.07.25	1954.48	1965.97	1951.90	1965.37	70009	0	4
2023.07.26	1965.37	1978.38	1962.08	1972.09	78095	0	4
2023.07.27	1972.14	1982.19	1942.65	1947.51	85926	0	4
2023.07.28	1947.52	1963.55	1946.12	1959.27	86695	0	4
2023.07.30	1960.14	1960.24	1957.48	1958.11	1509	0	4
2023.07.31	1958.05	1972.44	1951.13	1963.94	67970	0	4
2023.08.01	1963.97	1964.74	1941.29	1952.21	73780	0	4
2023.08.02	1952.19	1954.83	1932.97	1936.11	73832	0	0
2023.08.03	1936.13	1938.99	1929.58	1935.86	75211	0	4
2023.08.04	1935.85	1946.87	1925.50	1942.81	70108	0	4
2023.08.06	1943.75	1944.00	1942.76	1943.91	1097	0	4
2023.08.07	1943.95	1945.37	1931.51	1936.83	58976	0	4
2023.08.08	1936.87	1937.38	1922.75	1925.58	67622	0	4
2023.08.09	1925.63	1932.36	1914.10	1916.75	61389	0	4
2023.08.10	1916.75	1930.09	1910.93	1912.44	70459	0	4
2023.08.11	1912.44	1920.92	1911.93	1913.67	59548	0	4
2023.08.13	1913.73	1914.42	1912.45	1913.70	1012	0	4
2023.08.14	1913.70	1916.22	1902.71	1907.65	63269	0	0
2023.08.15	1907.61	1911.63	1896.39	1901.50	64821	0	0
2023.08.16	1901.51	1907.20	1891.86	1893.38	69445	0	4
2023.08.17	1893.39	1903.48	1885.06	1891.32	73996	0	4
2023.08.18	1891.31	1896.86	1886.78	1889.34	61446	0	4
2023.08.20	1890.38	1890.38	1888.88	1890.05	1282	0	4
2023.08.21	1890.05	1898.78	1884.84	1894.77	68184	0	4
2023.08.22	1894.74	1904.44	1889.20	1898.59	63355	0	4
2023.08.23	1898.68	1920.38	1898.52	1917.94	70013	0	4
2023.08.24	1917.95	1923.38	1911.84	1915.95	66543	0	4
2023.08.25	1915.94	1922.43	1903.84	1914.58	65855	0	5
2023.08.27	1915.00	1916.12	1914.35	1915.10	1344	0	5
2023.08.28	1915.09	1926.11	1912.83	1921.29	57759	0	4
2023.08.29	1921.28	1938.20	1914.50	1936.27	65850	0	4
2023.08.30	1936.27	1949.07	1935.00	1944.29	67680	0	4
2023.08.31	1944.35	1947.91	1939.08	1939.94	61887	0	4
2023.09.01	1939.95	1952.94	1934.57	1940.22	65628	0	5
2023.09.03	1939.60	1941.10	1939.56	1940.61	737	0	5
2023.09.04	1940.62	1946.36	1935.72	1937.64	37474	0	4
2023.09.05	1937.63	1938.99	1925.39	1926.63	67617	0	4
2023.09.06	1926.65	1929.20	1915.32	1917.15	65136	0	4
2023.09.07	1917.16	1923.62	1916.23	1920.30	58761	0	4
2023.09.08	1920.27	1929.71	1917.38	1919.04	58177	0	4
2023.09.10	1918.26	1919.73	1916.72	1918.92	1551	0	5
2023.09.11	1918.92	1930.74	1918.41	1922.55	63889	0	4
2023.09.12	1922.54	1924.55	1907.64	1913.53	63127	0	4
2023.09.13	1913.52	1915.76	1905.57	1908.90	68557	0	4
2023.09.14	1908.91	1912.93	1901.03	1910.41	74926	0	4
2023.09.15	1910.40	1930.43	1909.86	1923.69	73584	0	4
2023.09.17	1923.80	1924.57	1923.40	1923.72	871	0	5
2023.09.18	1923.73	1934.23	1922.58	1933.72	62044	0	4
2023.09.19	1933.72	1937.40	1929.81	1931.91	51748	0	4
2023.09.20	1931.90	1947.43	1928.00	1931.20	64483	0	4
2023.09.21	1931.19	1931.19	1913.96	1920.20	66034	0	4
2023.09.22	1920.19	1929.14	1920.15	1925.38	54249	0	4
2023.09.24	1924.63	1926.48	1924.63	1925.79	740	0	4
2023.09.25	1925.77	1927.20	1915.20	1916.55	50755	0	4
2023.09.26	1916.61	1916.72	1899.17	1900.94	55339	0	4
2023.09.27	1900.94	1903.95	1872.56	1877.03	65614	0	4
2023.09.28	1877.03	1879.63	1857.70	1864.41	71478	0	4
2023.09.29	1864.39	1879.87	1846.36	1848.53	71286	0	4
2023.10.01	1847.48	1850.68	1844.62	1846.49	1569	0	5
