<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.11.29	00:00:00	1795.46	1795.90	1790.35	1793.73	4782	0	6
2021.11.29	01:00:00	1793.76	1795.82	1789.97	1795.32	4895	0	6
2021.11.29	02:00:00	1795.29	1795.59	1792.42	1795.35	3384	0	6
2021.11.29	03:00:00	1795.36	1796.64	1793.98	1794.48	2578	0	6
2021.11.29	04:00:00	1794.47	1794.47	1791.21	1793.00	2284	0	6
2021.11.29	05:00:00	1792.97	1795.97	1792.21	1795.90	3314	0	6
2021.11.29	06:00:00	1795.89	1796.72	1794.64	1795.04	3404	0	6
2021.11.29	07:00:00	1795.06	1797.06	1792.04	1794.74	6196	0	6
2021.11.29	08:00:00	1794.77	1799.28	1792.94	1798.10	5612	0	6
2021.11.29	09:00:00	1798.07	1799.42	1796.77	1799.34	5468	0	6
2021.11.29	10:00:00	1799.37	1799.43	1794.75	1796.37	3480	0	6
2021.11.29	11:00:00	1796.34	1796.34	1793.29	1793.55	3079	0	6
2021.11.29	12:00:00	1793.55	1794.09	1790.32	1794.03	4829	0	6
2021.11.29	13:00:00	1794.06	1794.06	1786.78	1786.91	6602	0	6
2021.11.29	14:00:00	1786.92	1789.97	1784.25	1788.10	7481	0	6
2021.11.29	15:00:00	1788.13	1789.80	1785.29	1787.03	6842	0	6
2021.11.29	16:00:00	1787.00	1787.94	1782.61	1783.85	5810	0	6
2021.11.29	17:00:00	1783.84	1785.80	1782.52	1784.22	3861	0	6
2021.11.29	18:00:00	1784.21	1785.26	1782.69	1784.04	3389	0	6
2021.11.29	19:00:00	1784.01	1784.02	1781.19	1782.63	3431	0	6
2021.11.29	20:00:00	1782.66	1785.12	1782.08	1783.73	3807	0	6
2021.11.29	21:00:00	1783.70	1785.81	1782.55	1784.70	2199	0	6
2021.11.29	23:00:00	1785.17	1787.87	1784.61	1786.89	2030	0	6
2021.11.30	00:00:00	1786.89	1787.91	1784.80	1785.09	2630	0	6
2021.11.30	01:00:00	1785.08	1789.12	1782.98	1788.55	3858	0	6
2021.11.30	02:00:00	1788.57	1790.41	1787.84	1788.64	2776	0	6
2021.11.30	03:00:00	1788.67	1789.15	1788.11	1789.00	2124	0	6
2021.11.30	04:00:00	1788.99	1789.73	1788.23	1788.69	1874	0	6
2021.11.30	05:00:00	1788.68	1795.89	1788.03	1795.86	5420	0	6
